Id,Code,DisplayName,RefSetId
a0000000-0000-0000-0000-000000000001,ServiceRequest,Service Request,10000000-0000-0000-0000-000000000001
a0000000-0000-0000-0000-000000000002,Complaint,Complaint,10000000-0000-0000-0000-000000000001
b0000000-0000-0000-0000-000000000001,Urgent,Urgent,20000000-0000-0000-0000-000000000002
b0000000-0000-0000-0000-000000000002,General,General,20000000-0000-0000-0000-000000000002
b0000000-0000-0000-0000-000000000003,Moderate,Moderate,20000000-0000-0000-0000-000000000002
c0000000-0000-0000-0000-000000000001,Open,Open,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000002,Assigned,Assigned,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000003,InProgress,In Progress,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000004,Resolved,Resolved,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000005,Closed,Closed,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000006,Cancelled,Cancelled,30000000-0000-0000-0000-000000000003
c0000000-0000-0000-0000-000000000007,Escalated,Escalated,30000000-0000-0000-0000-000000000003
d0000000-0000-0000-0000-000000000001,PendingAcceptance,Pending Acceptance,40000000-0000-0000-0000-000000000004
d0000000-0000-0000-0000-000000000002,Active,Active,40000000-0000-0000-0000-000000000004
d0000000-0000-0000-0000-000000000003,Denied,Denied,40000000-0000-0000-0000-000000000004
d0000000-0000-0000-0000-000000000004,Reassigned,Reassigned,40000000-0000-0000-0000-000000000004
d0000000-0000-0000-0000-000000000005,Completed,Completed,40000000-0000-0000-0000-000000000004
d0000000-0000-0000-0000-000000000006,Cancelled,Cancelled,40000000-0000-0000-0000-000000000004
