Number,Block,Floor
A101,A,1
A102,A,1
A103,A,1
A104,A,1
A105,A,1
A201,A,2
A202,A,2
A203,A,2
A204,A,2
A205,A,2
A301,A,3
A302,A,3
A303,A,3
A304,A,3
A305,A,3
A401,A,4
A402,A,4
A403,A,4
A404,A,4
A405,A,4
B101,B,1
B102,B,1
B103,B,1
B104,B,1
B105,B,1
B201,B,2
B202,B,2
B203,B,2
B204,B,2
B205,B,2
B301,B,3
B302,B,3
B303,B,3
B304,B,3
B305,B,3
B401,B,4
B402,B,4
B403,B,4
B404,B,4
B405,B,4
C101,C,1
C102,C,1
C103,C,1
C104,C,1
C105,C,1
C201,C,2
C202,C,2
C203,C,2
C204,C,2
C205,C,2
C301,C,3
C302,C,3
C303,C,3
C304,C,3
C305,C,3
C401,C,4
C402,C,4
C403,C,4
C404,C,4
C405,C,4
